time,nearestNeighborParameter
250,"[4.751993434152852,8.799292814238074,2.701287687323604,8.799292814238074,7.385761761181285,9.204932319632526,9.491486378201682,7.764022476078613,9.548330379618578,0.7297447602353024,8.857490518214645,8.832906931942606,3.7124411806551274,0.4097890580238014,0.5337740432247818,1.7373996785558827,2.701287687323604,1.272267423887559,8.832906931942606,8.924091754841285,14.07002888155052,0.9220536543624092,0.7967995544448933,1.6370978426435172,20.064255312447436,1.7373996785558827,1.8634725072541212,2.903365664470037,10.984028003142623,8.202346022438674,10.984028003142623,4.876821156179952,32.73194416072287,0.9220536543624092,0.651960004182922,2.7896355779096833,2.903365664470037,0.651960004182922,0.4097890580238014,3.7124411806551274,23.690523978478137,0.5337740432247818,16.81000516115758,6.975524687341207,7.764022476078613,0.7967995544448933,4.876821156179952,0.7297447602353024,5.527497229097317,7.385761761181285]"
260,"[4.200882494104884,8.958624802692826,4.200882494104884,8.958624802692826,3.3860130391694834,9.237018116106208,9.369529638973829,7.233483863696015,9.792110301210192,0.725989915969757,8.651264758088953,9.797163710743702,6.6742614884105205,0.33204509706867336,0.5954939217324609,1.87790652953912,3.417524245006291,1.0584164537024738,7.588013317388683,9.797163710743702,11.214007903773489,0.9840924343101224,0.9665618249273202,1.0584164537024738,20.44392858648537,1.87790652953912,1.719167138751727,1.8031407684919716,10.93068908832519,3.068918375132736,10.93068908832519,1.938265497228575,31.137307344381693,0.9840924343101224,1.719167138751727,2.9263160199896987,1.8031407684919716,2.4602880265086555,0.33204509706867336,0.725989915969757,23.403363109045824,0.5954939217324609,16.132977034442273,7.107173977915545,7.233483863696015,0.9665618249273202,1.938265497228575,1.0034295941007534,3.068918375132736,3.3860130391694834]"
270,"[4.8788559214701985,8.338201498130184,2.7697174035680345,9.228686844933677,0.7434888094307535,7.3550197799042385,9.08483094479438,9.293979550819639,10.039640807508416,0.1562258838055171,9.536561620348458,9.832712048367716,4.077664851232744,0.7951692265297696,0.9107630592179357,2.0957416080647464,2.7697174035680345,1.72214905188283,4.077664851232744,9.832712048367716,10.738445137255571,1.0009040474577076,0.5132674113988132,1.72214905188283,19.9122045458571,2.0957416080647464,2.1537670150453136,1.2590996430247006,7.792786803394161,0.22162129087830423,8.997654930906098,1.2970870625089037,29.611692241303405,1.0009040474577076,2.7869280734663935,2.3016157935556576,1.2590996430247006,2.1537670150453136,0.7951692265297696,0.1562258838055171,23.016710072023393,0.9107630592179357,10.540668315390977,5.111466747281429,6.534298606823855,0.5132674113988132,1.2970870625089037,1.080632764392899,0.22162129087830423,0.7434888094307535]"
280,"[7.426367956693279,5.192522496717047,0.4990072647766666,9.76185680989264,0.9586993559321397,6.502858562403437,8.160223817806422,9.843901162373845,8.939870111002723,0.16894414329439889,6.168809376244085,9.952367709620836,3.855286109697481,1.0883477477604695,1.0585599218256556,2.1913965157882163,0.4990072647766666,0.603790742892745,3.855286109697481,9.442875431845193,10.080570892455425,1.3388290375269116,3.694846570682118,0.603790742892745,18.62381527593875,2.1913965157882163,1.6174445951197407,1.545443071247233,7.848527429658826,0.9503764979543551,7.58298404315526,1.5727347379778873,28.73070241263815,1.3388290375269116,4.257449027208939,2.37702824236125,1.545443071247233,1.6174445951197407,1.4606777554976729,0.16894414329439889,21.940100861361568,1.0585599218256556,10.064870183236593,2.602561530835889,5.192522496717047,3.1658658673402247,1.5727347379778873,1.1540446417843595,0.9503764979543551,0.9586993559321397]"
290,"[7.088981150875806,3.583542883235017,0.571698051946164,9.812777085885953,1.01963369025386,6.84221808855631,8.368951225596874,8.760713416364124,10.086245113400075,0.29229110863420243,1.0418631754878243,8.664912235064124,4.104443470921779,0.8624428433015273,0.8322385611111981,2.3972171697291365,0.571698051946164,0.3766435068013104,4.104443470921779,8.55978623973275,9.759837393895058,1.4618738654126255,1.0418631754878243,0.3766435068013104,17.647699891700935,2.3972171697291365,1.5875083136398347,1.1480515177012192,7.857029616656665,1.4770493834586973,7.499621551940125,0.7108147069136708,27.51474173502074,1.4618738654126255,2.2130682178748367,2.2577701053851666,1.667932227919629,1.5875083136398347,1.6498504732935333,0.29229110863420243,19.952939654412344,0.8322385611111981,9.400523758639958,1.1480515177012192,3.583542883235017,4.568475331816446,0.7108147069136708,1.4707664509384066,1.4770493834586973,1.01963369025386]"
300,"[5.1632459809717215,3.889046559041541,0.5371836103997658,9.682814679478914,1.1650739617742774,8.731335286018783,9.749812588540463,9.374093436412544,8.87935141679231,0.6374995647992456,0.5910679134173702,7.747042820163418,3.7556017126381454,0.7741377193584228,0.580515240065897,2.784267137724149,0.5371836103997658,0.5428697215865431,3.7556017126381454,7.939370542190338,8.891473691555632,2.3999829205432075,0.5910679134173702,0.5428697215865431,17.050371875472827,2.6880022694974444,3.21021007260597,0.7119622569046944,8.165952991477342,1.015564028166153,7.879308923212586,1.5548240399551922,25.117149110695074,2.3999829205432075,0.580515240065897,2.8213090508828187,0.9087278735784442,3.21021007260597,1.0284226513430936,0.6374995647992456,16.62050778845118,0.7741377193584228,9.769926643380186,0.7119622569046944,3.889046559041541,4.400035287709617,1.5548240399551922,1.0126697110241227,1.015564028166153,1.1650739617742774]"
310,"[2.3954373246290905,4.072084057751306,0.6898389521003622,9.26106937011657,1.1700164955203711,7.1159918417947665,10.224126807589698,8.515007581273606,10.454122561269788,0.5244979498014578,1.4207335281510791,8.675380223177111,1.6137766112993888,0.7371522658261539,0.6703005124082322,3.941016804214465,0.6898389521003622,0.8581601774766466,1.6137766112993888,6.304163336149954,8.593698280370585,0.8760070504394774,1.4207335281510791,0.8581601774766466,16.624780857220706,2.3460044406232483,1.1623980941368088,0.9410220107940267,7.9185348132396856,0.8895432772496532,7.1159918417947665,0.5838019765912636,22.700688865874806,0.8760070504394774,0.5207648873892915,1.55497078918289,0.7008168423458451,1.1623980941368088,0.7371522658261539,0.9785436621177436,12.68119672432845,0.5207648873892915,9.542129017615018,0.7008168423458451,3.941016804214465,4.499051051171341,0.5838019765912636,0.5244979498014578,0.8895432772496532,1.1700164955203711]"
320,"[1.9537918333150963,3.6014575646662923,0.579799170966456,9.524764262771994,1.089694923128679,6.058720642674899,9.104178946077019,8.254465536296697,10.37673276986568,0.8823860006390174,0.551872888487635,5.468247372067725,2.46667086673938,1.4137309107806892,1.2880007443723551,2.5068884769055635,0.579799170966456,1.166590394545836,2.46667086673938,5.4991218722874615,5.4991218722874615,0.6162221887985366,0.551872888487635,1.0070931358382353,15.626992687773104,1.9537918333150963,0.9833409097483092,0.6669115166992929,7.99657622938314,0.6689408639320483,6.058720642674899,1.042804821582743,20.240359418468202,0.6162221887985366,0.11572239469913996,0.8823860006390174,0.25065854104699964,0.9833409097483092,1.6450960986540792,0.4159209084152171,10.020124812708012,0.11572239469913996,9.820753364502615,0.25065854104699964,2.5068884769055635,5.694157734911349,1.042804821582743,0.4159209084152171,0.6689408639320483,1.089694923128679]"
330,"[1.6903159367536094,3.1181841339218965,0.4387106792587563,9.668044968668113,1.1376635568819407,6.163847670202232,9.714721191607415,7.99712645792059,9.674488640707898,0.7543741061812665,1.0955096236927921,4.50948721022089,3.392103574367056,0.9285186619923339,0.9285186619923339,1.1450701898695175,0.4387106792587563,0.9892857001861644,3.392103574367056,4.12892717522899,5.370744834782537,0.33938680568007173,1.0955096236927921,0.9892857001861644,14.383724605298836,0.5552487357676824,1.7711943844878166,0.7813172423918602,7.713776068858797,1.0137906370881429,6.163847670202232,0.7530210039197547,13.178107772495075,0.33938680568007173,0.8619694036893294,0.7543741061812665,0.10690317547366819,1.7711943844878166,1.3545763738807837,0.32267817528358345,8.22811073671222,0.468333043405586,9.209297601910064,0.10690317547366819,1.1450701898695175,3.3544134466008653,0.7530210039197547,0.32267817528358345,1.0137906370881429,1.1376635568819407]"
340,"[1.7397109165164648,3.37160768627808,0.6678242806944468,8.586238459434464,1.4670892894126082,5.904975845429444,9.920042010642147,8.353029482711475,9.82156121879765,1.1935457529440399,0.5450192848655122,4.771449748795798,2.9747040963144515,0.5607521867109393,0.5607521867109393,0.20934608998627546,0.6678242806944468,0.37542408657231574,0.5262358874820865,2.0765841206804043,7.514292686006865,0.9139971889048063,0.5450192848655122,0.37542408657231574,9.493203639197654,0.6788717926608433,1.3595174278822475,1.5398645742349542,8.730236274853713,1.2004773430625404,5.904975845429444,0.2594334562605969,8.586238459434464,0.5262358874820865,0.38022253113732857,0.7932127064032956,0.4289782543679046,3.6527058422442242,0.2726437482305314,0.40218882034890474,8.659060218886143,0.38022253113732857,9.213698568899115,0.4289782543679046,0.20934608998627546,3.0648785520137847,0.2594334562605969,0.2726437482305314,1.2004773430625404,1.4670892894126082]"
350,"[2.0621271696760792,2.2883419937034852,0.4460678046096802,8.229187710002781,3.2848100080798113,6.39014091768024,9.552620061105047,7.830252285659794,10.186868653922827,0.44663176505797164,0.3963696897619498,5.293271243355817,2.5370496291449367,0.20580824152915625,0.4945873556873625,0.18109984124780948,0.4460678046096802,0.1285071939938823,0.272080888456899,1.9875598703489419,9.566948061933395,0.272080888456899,0.3963696897619498,0.1285071939938823,9.901564680709294,0.14957702791473185,0.14957702791473185,1.1474619279956035,7.90946458021752,0.17184363421012658,6.39014091768024,1.9007980738997348,8.229187710002781,0.7485397279701169,0.44663176505797164,0.20580824152915625,0.7622396963982487,1.336505782986813,0.510858900924656,0.510858900924656,10.306224057485746,0.6000799644532491,8.32933274044231,0.7622396963982487,0.18109984124780948,2.8657067658972437,1.9007980738997348,0.598535686469176,0.17184363421012658,3.2848100080798113]"
360,"[1.5035041901444062,1.546714681270308,0.42735961204521,7.262662458934513,3.5999616769904565,6.909558147770538,9.75877324519385,8.64630059277919,10.052767897817986,0.4331111936848169,0.6311088408100721,5.472466203451448,2.170893491171839,0.40940957265552524,0.9333674826539402,0.17971338962952835,0.42735961204521,0.015754739922937903,0.23409101474205846,1.4449314106563464,9.450882995239251,0.23409101474205846,0.6311088408100721,0.015754739922937903,8.64630059277919,0.1534113954666877,0.1534113954666877,0.5792935430993392,7.3214151212284895,0.19852926590279596,6.909558147770538,1.902404552483312,7.262662458934513,0.40040284119304265,0.20395569401528288,0.25353306416771376,0.4398979683423012,0.5792935430993392,0.4172943733873103,0.20395569401528288,9.974613019352232,0.33613848575080146,7.946541822160563,0.4398979683423012,0.17971338962952835,3.1303774801979443,1.902404552483312,0.33613848575080146,0.19852926590279596,3.5999616769904565]"
370,"[1.3856068328077589,1.514187036592272,0.2236597578382723,6.924983018582392,2.687166260751697,6.842616629896072,10.165139784208424,8.148518995884148,9.799001330529471,0.8160077666343116,0.5958796667640072,5.465981938768875,2.036384822992976,0.5895509876894772,0.39556918938881647,0.17724106561109104,0.40516017063367676,0.2603184761420823,0.22223380747453217,1.419556461666998,8.924468928141067,0.22223380747453217,0.5958796667640072,0.20101764594554003,8.148518995884148,0.15422219780232435,0.15422219780232435,0.562538087783499,7.248198702114246,0.05642080179091531,6.842616629896072,1.9435009488601842,8.925602161187618,0.2653341000355639,0.1959580731775493,0.20101764594554003,0.43127653486559175,0.4970378250364923,0.5460971107122768,0.1959580731775493,9.90909467643761,0.3389186809174727,7.759579254530654,0.43127653486559175,0.17724106561109104,2.24499730141085,1.9435009488601842,0.3389186809174727,0.05642080179091531,2.687166260751697]"
380,"[1.361173150265614,1.5003834341401574,0.06797551633755128,7.638656019605657,5.728703961593918,6.31885149633312,9.29961166221762,8.846464464045665,10.043221111337292,0.3811838391333771,0.6418859623014703,4.578213554192724,1.9618133998650205,0.5377523998945725,0.4706919158289743,0.18396871707500506,0.3841869499711471,0.4706919158289743,0.09868096726526131,1.1922016304585419,8.75037027729831,0.17858319688236715,0.6418859623014703,0.24448207356787965,8.846464464045665,0.29897049519689767,0.06797551633755128,0.5463815848263321,7.440157958737526,0.5052818223572483,6.31885149633312,1.8945968490510647,7.638656019605657,0.09868096726526131,0.17269319693610177,0.24448207356787965,0.4810404375614482,0.5043480771268745,0.34155389230852606,0.17269319693610177,9.847587120963842,0.6520132686302772,7.9539633016635625,0.4810404375614482,0.18396871707500506,2.294434669083971,1.8945968490510647,0.6412196128180361,0.5052818223572483,5.728703961593918]"
390,"[1.3207070087048345,1.3890072803986069,0.3937486678179581,7.102183358524732,5.760012903747968,5.1563012323489765,9.452375694305662,9.21790000424338,10.228928371227965,0.1424984585927357,0.4016814581107089,3.6575168677057484,1.6916577717073085,0.1424984585927357,0.3426774464187669,0.4142680840856905,0.40756619713421116,0.21132330003168856,0.19086876274777964,1.0561381436102908,8.53269654369806,0.19086876274777964,0.4016814581107089,0.3784348335199571,9.558608339893219,0.13231662810490594,0.13231662810490594,0.7112751237347114,7.318374521529634,0.1962214008169338,5.1563012323489765,1.7179056563572948,7.102183358524732,0.3583165749518919,0.2725586743617156,0.12586992320788076,0.43881306308846707,0.5220712617229782,0.12586992320788076,0.6462088057982941,10.411978944770448,0.6341500888662777,8.174745042653187,0.43881306308846707,0.4142680840856905,2.0910552154804996,1.7179056563572948,0.2725586743617156,0.1962214008169338,5.760012903747968]"
400,"[1.251244488414182,1.1236134899664785,0.04030217032966521,6.662894685079155,3.8938722169675906,1.4753018421472326,8.741899744476843,8.741899744476843,10.088637868649258,0.44448326981224257,0.8610030679854671,3.0644336925237186,0.8867269540288885,0.44448326981224257,0.09779887823156987,0.3265073505349737,0.3089591333973045,0.09779887823156987,0.44445893382180707,1.026877146557878,7.432643824868618,0.44445893382180707,0.8610030679854671,0.1537274543841944,9.671640119468243,0.04030217032966521,0.12313097824374496,0.7652709004198555,6.637671565627503,0.1838712811219912,1.4753018421472326,1.050495501018583,6.662894685079155,0.5004089382897181,0.24046183795400838,0.15564623174043904,0.4318949528594959,0.5460109666545088,0.15564623174043904,0.19460664069950337,10.204362091197792,1.2456842319571086,6.637671565627503,0.4318949528594959,0.3265073505349737,2.5781426709011583,1.050495501018583,0.24046183795400838,0.1838712811219912,3.8938722169675906]"
410,"[1.3757772690557233,1.4661393452041056,0.03168896419077284,6.341543814497401,2.82806538310549,1.4628117850447349,6.58806759198715,6.58806759198715,10.194146916358907,0.18227658920960005,0.13041173184148067,2.8228030521266896,0.6962544783110864,0.0902690334752152,0.2433345884228947,0.31105468770614436,0.33794195181001535,0.0902690334752152,0.1844909713889944,1.0183255881973197,7.241572032003764,0.1844909713889944,0.13041173184148067,0.18227658920960005,9.857379011128154,0.03168896419077284,0.09584270689814434,0.6223394538784293,4.378826757700543,0.09448135245648678,1.4628117850447349,1.550199523870044,6.341543814497401,0.40343066067371613,0.3068794054130394,0.0672527052415446,0.4175190253028163,0.6223394538784293,0.09346241917056686,0.0672527052415446,9.060368424678046,0.3068794054130394,4.378826757700543,0.4175190253028163,0.31105468770614436,2.852610312286261,1.550199523870044,0.4277635353239761,0.09448135245648678,2.82806538310549]"
420,"[1.5722987595437157,1.4156236031148621,0.10354247766560452,6.251718513154224,2.9950537404065645,2.1079959567005018,8.036993137944437,8.036993137944437,9.018192272941214,0.23025524236704353,0.8271270454895316,2.1061987641595463,0.4887061315485346,0.26794600297557986,0.3070206782433676,0.2938150771790528,0.414538405837006,0.3070206782433676,0.6295280957448415,1.0240354505026015,7.2129214482515325,0.42570607323589915,0.8271270454895316,0.23025524236704353,9.374502677188291,0.10354247766560452,0.13254479176779735,0.5327392951508397,1.4835536851785966,0.06813235077769135,2.1079959567005018,3.3455732752888303,6.251718513154224,0.42570607323589915,0.2759478432930478,0.1246106278512011,0.40632628529992704,0.5327392951508397,0.1246106278512011,0.2792280516143933,9.883661063396628,0.4354872274229343,1.4835536851785966,0.40632628529992704,0.2938150771790528,2.792160713157429,3.3455732752888303,0.2759478432930478,0.06813235077769135,2.9950537404065645]"
430,"[2.7707100717570565,0.7925574825198503,0.038119249025741896,6.229384487195023,3.353734516494197,2.211027686416719,6.987840853483496,6.987840853483496,8.843858548099373,0.07482204134798054,1.2073306323116835,3.7588811927556014,0.798356867364427,0.16374148951784276,0.07482204134798054,0.26197817107775795,0.597556398900964,0.2977520328337693,1.2120910760822574,1.0308599754187975,6.899000630003651,0.5818051237969001,1.2073306323116835,0.16374148951784276,9.940162972340842,0.038119249025741896,0.1873079463039916,0.4509318587452025,1.5576711961421834,0.02959894553404664,2.211027686416719,5.15478263974705,6.229384487195023,0.5818051237969001,1.0887985568137308,0.3370790665164143,0.2646647162605761,0.4509318587452025,0.18570671119240262,0.12449228987836865,6.818945169221077,0.9531638377852415,1.5576711961421834,0.2646647162605761,0.26197817107775795,2.7044110883856347,2.9276411399297135,0.12449228987836865,0.02959894553404664,3.353734516494197]"
440,"[3.985672720679755,0.6488996241626815,0.026680354081630834,7.2873026298115455,3.179784604712749,1.0783056153762571,8.819476102994622,8.819476102994622,8.852069778129968,0.11513703550996336,0.7106984052061273,3.863647972053098,0.25795519355660074,0.09061431493542298,0.09061431493542298,0.38114918643066664,0.29451719108298974,0.11513703550996336,0.25795519355660074,1.033214655587111,6.3412313352004075,0.4091433376517567,0.7106984052061273,0.14596924621782165,8.778731419540083,0.026680354081630834,0.35847795201376403,0.2850389155757331,0.7464437815064354,0.044615030379897634,1.6269701922765143,0.8462243607507614,7.2873026298115455,0.8333326058514421,0.29526293668481396,0.10849629676032696,0.054409069918528424,0.20159318238760401,0.15391201793958634,0.10849629676032696,3.863647972053098,0.29526293668481396,0.7464437815064354,0.054409069918528424,0.38114918643066664,3.9292459109344975,1.0783056153762571,0.15391201793958634,0.044615030379897634,3.179784604712749]"
450,"[4.7046924104054275,0.7632653446447326,0.2304254858816092,6.648070997598863,2.416959895510854,1.6948452286520244,9.335759026423467,8.96069793809565,9.522847293872191,0.08114291088055235,0.42305126503193197,5.158961142588135,0.2096949026693779,0.030284465915796747,0.030284465915796747,0.5914238361749282,0.2304254858816092,0.06492048064943179,0.2096949026693779,1.0318582374112724,5.197977512581712,0.2595613864267005,0.42305126503193197,0.06280099101048064,8.96069793809565,0.18670723827935928,0.18670723827935928,0.16990237675831027,0.6510158150718766,0.045089081186028536,2.4590761477993177,0.8984270874761284,6.648070997598863,0.6208896679980335,0.26370396940135343,0.22944116234552797,0.113268431415466,0.1252557226487433,0.11251002588331092,0.11574793403373038,5.158961142588135,0.26370396940135343,0.6510158150718766,0.113268431415466,0.5914238361749282,4.536426203378813,1.6948452286520244,0.06280099101048064,0.045089081186028536,2.416959895510854]"
460,"[4.4710725500669,0.8055873559812475,0.20296128706652486,6.306800358939078,2.8207298964582437,1.6740277173559095,9.49612113380508,9.49612113380508,10.325433441934576,0.09567486000559138,0.40313075228386713,5.276023618473252,0.20152649475392592,0.002902218104009644,0.002902218104009644,0.42387620835192613,0.26676530811782895,0.08785913002534473,0.20152649475392592,1.0351863031058746,5.276023618473252,0.29723720687257416,0.40313075228386713,0.042580236694434836,9.664384440263767,0.276463036948078,0.20296128706652486,0.13296930072920984,0.49408606886729267,0.04714227666104876,1.6740277173559095,0.6624369063232008,6.306800358939078,0.29723720687257416,0.5611252832098405,0.3388884011056438,0.15955499786901342,0.13296930072920984,0.08418505412510287,0.08418505412510287,6.879734977482296,0.5386434799859426,0.49408606886729267,0.134007828543327,0.42387620835192613,4.49649447286233,2.220556831049427,0.042580236694434836,0.04714227666104876,2.8207298964582437]"
470,"[4.132262503017697,0.8720935056155591,0.13627730260293489,6.300618166550827,2.688034615176077,1.4990422650850639,9.50055668996038,9.327193708014688,9.387970321862298,0.08539436241435708,0.535572048631888,6.836191900728636,0.1526083502076284,0.03157808453875832,0.03157808453875832,0.13944686999583086,0.41951452984446946,0.08999868955467444,0.1731898442215446,1.038359935415562,6.836191900728636,0.16236600902871595,0.535572048631888,0.1414281416981225,9.327193708014688,0.06700769950701896,0.06700769950701896,0.1690685579421895,0.335286110185176,0.028003206272817837,1.4990422650850639,0.860392494941424,6.300618166550827,0.1526083502076284,0.7668400118378187,0.2920998958408753,0.16088801056524024,0.1540563229063159,0.08398477031054676,0.08398477031054676,9.430367867835407,0.7110111499064496,0.335286110185176,0.1540563229063159,0.13944686999583086,4.453452037577828,2.8469035942801644,0.13116045504597582,0.028003206272817837,2.688034615176077]"
480,"[3.5432120940423038,0.8285937415554104,0.34050775259505056,6.608007570737748,2.929313656960328,1.4424549902625534,8.228154545205005,8.228154545205005,9.873759441503747,0.1247452827571216,0.7790308793528683,6.329625160652042,0.15665655527914055,0.04865962356073203,0.03241729829284889,0.3275967040038296,0.4705580954510306,0.03241729829284889,0.16604070194848775,1.0793452499086615,6.329625160652042,0.4775545990022118,0.7790308793528683,0.14753078636601052,9.230189928067736,0.0926175148558203,0.0926175148558203,0.4696000222720964,0.44821231012496554,0.018479147718148608,1.4424549902625534,0.6427313300996921,6.608007570737748,0.15665655527914055,1.2480550716900523,0.5180737139091667,0.16019391348540235,0.12105479081104974,0.10881925680392555,0.10881925680392555,9.298565185174482,0.7223131158593747,0.44821231012496554,0.12105479081104974,0.3275967040038296,3.757700173232284,2.8302040322974795,0.14753078636601052,0.018479147718148608,2.929313656960328]"
490,"[3.1828841260082026,0.7502512066297019,0.2253559611526753,6.633360266398042,3.328143965595006,1.571152046560422,7.770533464662366,7.770533464662366,10.579599273281787,0.13801111745873346,0.7972346475309957,5.611643935712551,0.36495303571456705,0.13801111745873346,0.15059674272583973,0.25256393197531213,0.40390948660540454,0.11269863331775876,0.27340962288673576,1.136820447086013,5.611643935712551,0.5156569735282442,0.7972346475309957,0.11269863331775876,9.265813572538185,0.14741857647845616,0.14741857647845616,0.08527597110977816,0.324649087952885,0.10724915745929252,1.571152046560422,0.4406436054010631,6.633360266398042,0.27340962288673576,1.5975067282311113,0.5503285358331118,0.020379153065135686,0.08527597110977816,0.10112502341974804,0.10112502341974804,8.157840084109923,0.728972593018461,0.324649087952885,0.020379153065135686,0.25256393197531213,3.1818125370603845,3.492781200437121,0.15472018554148848,0.10724915745929252,3.328143965595006]"
